n,padded_n,algo,trial,ms
2,2,naive,1,0.006
2,2,recursive,1,0.001
2,2,strassen,1,0.002
2,2,naive,2,0.0
2,2,recursive,2,0.0
2,2,strassen,2,0.003
2,2,naive,3,0.0
2,2,recursive,3,0.0
2,2,strassen,3,0.002
2,2,naive,4,0.001
2,2,recursive,4,0.001
2,2,strassen,4,0.002
2,2,naive,5,0.001
2,2,recursive,5,0.0
2,2,strassen,5,0.001
4,4,naive,1,0.0
4,4,recursive,1,0.001
4,4,strassen,1,0.013
4,4,naive,2,0.0
4,4,recursive,2,0.001
4,4,strassen,2,0.013
4,4,naive,3,0.001
4,4,recursive,3,0.0
4,4,strassen,3,0.025
4,4,naive,4,0.0
4,4,recursive,4,0.0
4,4,strassen,4,0.012
4,4,naive,5,0.001
4,4,recursive,5,0.0
4,4,strassen,5,0.008
5,5,naive,1,0.0
5,8,recursive,1,0.003
5,8,strassen,1,0.046
5,5,naive,2,0.0
5,8,recursive,2,0.002
5,8,strassen,2,0.047
5,5,naive,3,0.0
5,8,recursive,3,0.003
5,8,strassen,3,0.046
5,5,naive,4,0.001
5,8,recursive,4,0.002
5,8,strassen,4,0.046
5,5,naive,5,0.0
5,8,recursive,5,0.002
5,8,strassen,5,0.054
7,7,naive,1,0.001
7,8,recursive,1,0.003
7,8,strassen,1,0.051
7,7,naive,2,0.001
7,8,recursive,2,0.002
7,8,strassen,2,0.045
7,7,naive,3,0.001
7,8,recursive,3,0.003
7,8,strassen,3,0.048
7,7,naive,4,0.0
7,8,recursive,4,0.003
7,8,strassen,4,0.046
7,7,naive,5,0.001
7,8,recursive,5,0.002
7,8,strassen,5,0.045
8,8,naive,1,0.001
8,8,recursive,1,0.003
8,8,strassen,1,0.045
8,8,naive,2,0.001
8,8,recursive,2,0.003
8,8,strassen,2,0.045
8,8,naive,3,0.0
8,8,recursive,3,0.003
8,8,strassen,3,0.044
8,8,naive,4,0.001
8,8,recursive,4,0.003
8,8,strassen,4,0.053
8,8,naive,5,0.0
8,8,recursive,5,0.002
8,8,strassen,5,0.046
9,9,naive,1,0.001
9,16,recursive,1,0.018
9,16,strassen,1,0.319
9,9,naive,2,0.0
9,16,recursive,2,0.015
9,16,strassen,2,0.324
9,9,naive,3,0.001
9,16,recursive,3,0.016
9,16,strassen,3,0.328
9,9,naive,4,0.001
9,16,recursive,4,0.015
9,16,strassen,4,0.315
9,9,naive,5,0.001
9,16,recursive,5,0.015
9,16,strassen,5,0.316
13,13,naive,1,0.001
13,16,recursive,1,0.015
13,16,strassen,1,0.287
13,13,naive,2,0.001
13,16,recursive,2,0.016
13,16,strassen,2,0.272
13,13,naive,3,0.002
13,16,recursive,3,0.015
13,16,strassen,3,0.289
13,13,naive,4,0.002
13,16,recursive,4,0.016
13,16,strassen,4,0.27
13,13,naive,5,0.002
13,16,recursive,5,0.016
13,16,strassen,5,0.225
16,16,naive,1,0.002
16,16,recursive,1,0.015
16,16,strassen,1,0.229
16,16,naive,2,0.003
16,16,recursive,2,0.016
16,16,strassen,2,0.225
16,16,naive,3,0.003
16,16,recursive,3,0.017
16,16,strassen,3,0.224
16,16,naive,4,0.003
16,16,recursive,4,0.017
16,16,strassen,4,0.224
16,16,naive,5,0.003
16,16,recursive,5,0.015
16,16,strassen,5,0.225
21,21,naive,1,0.031
21,32,recursive,1,0.129
21,32,strassen,1,1.716
21,21,naive,2,0.009
21,32,recursive,2,0.126
21,32,strassen,2,1.738
21,21,naive,3,0.007
21,32,recursive,3,0.126
21,32,strassen,3,1.478
21,21,naive,4,0.006
21,32,recursive,4,0.106
21,32,strassen,4,1.461
21,21,naive,5,0.006
21,32,recursive,5,0.107
21,32,strassen,5,1.463
29,29,naive,1,0.016
29,32,recursive,1,0.105
29,32,strassen,1,1.414
29,29,naive,2,0.017
29,32,recursive,2,0.095
29,32,strassen,2,1.261
29,29,naive,3,0.014
29,32,recursive,3,0.091
29,32,strassen,3,1.253
29,29,naive,4,0.017
29,32,recursive,4,0.098
29,32,strassen,4,1.253
29,29,naive,5,0.017
29,32,recursive,5,0.097
29,32,strassen,5,1.256
32,32,naive,1,0.022
32,32,recursive,1,0.09
32,32,strassen,1,1.127
32,32,naive,2,0.021
32,32,recursive,2,0.085
32,32,strassen,2,1.118
32,32,naive,3,0.019
32,32,recursive,3,0.086
32,32,strassen,3,1.117
32,32,naive,4,0.021
32,32,recursive,4,0.084
32,32,strassen,4,1.129
32,32,naive,5,0.02
32,32,recursive,5,0.092
32,32,strassen,5,1.091
37,37,naive,1,0.028
37,64,recursive,1,0.572
37,64,strassen,1,7.053
37,37,naive,2,0.02
37,64,recursive,2,0.522
37,64,strassen,2,6.371
37,37,naive,3,0.025
37,64,recursive,3,0.53
37,64,strassen,3,5.938
37,37,naive,4,0.023
37,64,recursive,4,0.483
37,64,strassen,4,5.57
37,37,naive,5,0.022
37,64,recursive,5,0.455
37,64,strassen,5,5.351
61,61,naive,1,0.071
61,64,recursive,1,0.439
61,64,strassen,1,5.109
61,61,naive,2,0.068
61,64,recursive,2,0.418
61,64,strassen,2,5.001
61,61,naive,3,0.066
61,64,recursive,3,0.405
61,64,strassen,3,4.825
61,61,naive,4,0.064
61,64,recursive,4,0.394
61,64,strassen,4,4.791
61,61,naive,5,0.063
61,64,recursive,5,0.387
61,64,strassen,5,4.573
64,64,naive,1,0.072
